"","ID","DATE","TIME","LAT","LON","VMAX","PER","ADAY","SPDX","PSLV","VPER","PC20","GSTD","POT","SHDC","T200","T250P","EPOS","RHMD","TWAT","Z850","D200","LSHDC","VSHDC","POT2","RHCN","SDIR","SHGC","POT_AVG","SHDC_AVG","T200_AVG","T250P_AVG","EPOS_AVG","RHMD_AVG","TWAT_AVG","Z850_AVG","D200_AVG","LSHDC_AVG","VSHDC_AVG","POT2_AVG","RHCN_AVG","SDIR_AVG","SHGC_AVG","RHLORI","SBTRI","PCRI30","RHCRI","RII30","RII35","RII40"
"AL022004.17","AL022004","040811",6,25.2,90.6,40,-5,0.3928,2e-05,672,-200,37,688,108.28522,19.15,-53.25,0,12.9,49,-0.2,-39,-14.5,8.23392,766,11725.68848,0,0.80273,-2.91639,110.32841,17.92,-53.14,0,13.12,52.2,1,-13.8,22.2,7.97452,716.79999,12172.35938,0,1.77613,-1.35645,66.2,17.2,30,58,12,1,1
"AL022004.18","AL022004","040811",12,25.7,90.4,45,5,0.3928,0.86827,728,225,81,607.5,105.3862,16.85,-53.2,0,12.9,50,0.3,-26.5,9.5,7.38003,758.25,11106.25098,0,0.29755,-4.80213,110.25034,18.24,-53.08001,0,12.22,54,1.9,1.8,38,8.34098,820.80005,12155.13672,0.4,5.22325,-1.51266,67.8,13.5,79,60.4,16,11,6
"AL022004.19","AL022004","040811",18,26.4,89.6,55,15,0.3928,4.21272,614,825,80,764.50006,94.23911,14.6,-53.2,0,14.2,52.5,0.6,-8,46.5,6.56595,803,8881.00879,19,1.30058,-0.93896,103.5986,21.12,-52.98,0,11.86,56,3.1,22,64,10.07228,1161.6001,10732.66992,0,9.31676,-1.56619,69.8,13.9,76,59.4,18,1,1
"AL022004.20","AL022004","040812",0,27,88.8,50,5,0.41849,7.43147,616,250,54,1220,102.13956,19,-53,0,13,56,0.3,11.5,51.5,8.74559,950,10432.48926,27,3.65902,1.2993,105.40424,27.26,-52.84,0,10.78,58,2.2,33.4,79.6,13.53975,1363,11110.05273,0,15.03937,-1.99433,71.2,24.4,49,48,3,1,1
"AL022004.21","AL022004","040812",6,27.7,88.1,45,-10,0.41849,6.47408,678,-450,23,1170,118.89682,20.8,-52.9,0,10.35,58,0.7,32,57.5,9.86325,935.99994,14136.4541,0.5,11.43857,0.18541,107.52493,32.48,-52.64,0,8.9,59.6,2.3,39.4,81,16.73363,1461.6001,11561.61133,0,23.56815,-2.77486,73.2,26,22,30.8,3,1,1
"AL022004.22","AL022004","040812",12,29,86.1,45,-5,0.41849,12.25674,650,-225,59,1107,123.96069,27.15,-52.85,0,9.75,58.5,1.5,50.5,90,13.47832,1221.75012,15366.25391,0,19.6543,-3.44073,99.66167,36.22,-52.66,0,7.44,61,1.2,40.4,83.8,19.41561,1629.90002,9932.44824,0,32.71821,-3.15804,74.4,24.6,56,15.2,3,1,1
"AL022004.23","AL022004","040812",18,30.2,84,30,-15,0.41849,18.02138,538,-450,56,810,120.77094,39.3,-52.6,0,9.3,60,-0.3,52.5,113.5,20.32758,1179.00012,14585.61914,0,24.83786,-5.95062,100.53517,41.18,-52.7,0,6.7,62.2,0,39.6,86.6,22.8736,1235.40002,10107.32031,0,39.59579,-4.14176,76,27,52,7.2,3,1,1
"AL022004.24","AL022004","040813",0,31.9,81.3,25,0,0.44486,20.47884,567,0,40,657.5,109.0549,43.05,-52.35,0,6.8,61.5,0.4,35.5,89,23.24357,1076.25012,11892.97168,0,37.0374,-4.01038,96.48868,42.8,-52.7,0,5.825,63,0.3,34,80.25,24.22587,1070.00012,9310.06543,0,44.27254,-3.64411,76.5,26.3,36,4.75,3,1,1
"AL022004.25","AL022004","040813",6,33.5,79,25,0,0.44486,21.27633,594,0,34,805,100.28314,41.25,-52.55,0,4.65,63.5,-0.4,29,62,23.34957,1031.25,10056.70898,0,47.74775,-1.53421,92.04467,42.3,-52.76667,0,4.96667,63.66667,-0.2,31,68.66666,24.49373,1057.5,8472.22168,0,49.43441,-2.91204,77.33334,32.2,30,3.33333,3,1,1
"AL022004.26","AL022004","040813",12,35.5,76.5,25,0,0.44486,20.06496,603,0,43,795,83.92245,42.55,-53.05,0,4.85,64.5,0.3,32.5,71.5,25.20816,1063.75012,7042.97705,0,51.50768,-3.27783,83.92245,42.55,-53.05,0,4.85,64.5,0.3,32.5,71.5,25.20816,1063.75012,7042.97705,0,51.50768,-3.27783,78.5,31.8,40,1.5,3,1,1
"AL022004.27","AL022004","040813",18,37.1,74.9,25,0,0.44486,17.05002,656,0,27,530,75.56771,44.5,-53.2,0,5.6,64,0,35,82,26.84237,1112.5,5710.479,0,52.80774,-5.78762,75.56771,44.5,-53.2,0,5.6,64,0,35,82,26.84237,1112.5,5710.479,0,52.80774,-5.78762,80,NA,NA,0,NA,NA,NA
"AL032004.1","AL032004","040809",12,11.4,59.2,30,0,0.34377,-18.76604,577,0,98,282.00003,129.25891,7.6,-54.5,0,10.4,69,0.6,22.5,64,1.52705,228,16707.86523,0,52.28429,2.43062,126.36984,8.7,-54.44,0,10.26,68,0.3,23.8,47.8,1.89717,261,15969.33691,0,43.12661,-1.14136,77.8,9.4,94,49.2,36,20,9
"AL032004.2","AL032004","040809",18,11.7,61.1,30,0,0.34377,-18.76604,587,0,96,318,125.08386,7.7,-54.3,0,11.4,68.5,0.7,22,56,1.58577,231,15645.97266,0,48.43656,-2.85745,124.28799,8.38,-54.18,0,10.82,66.6,0.1,27.8,40.2,1.88032,251.40001,15447.50586,0,38.00199,-1.92189,76.4,10.6,87,49.4,30,17,8
"AL032004.3","AL032004","040810",0,12.2,63.2,30,0,0.36788,-19.5629,582,0,88,351,122.81726,8.2,-54.45,0,10.5,68,-0.7,22.5,46.5,1.79663,246,15084.0791,0,33.38313,-5.26667,121.47096,7.48,-54.18,0,11.16,65.2,-1.1,35.4,30.6,1.76659,224.40001,14755.19434,0,31.53061,-1.91559,75.2,11.7,61,47.8,25,16,9
"AL032004.4","AL032004","040810",6,12.9,65.3,35,5,0.36788,-20.18643,575,175,54,462,120.59085,11.3,-54.3,0,9.65,66.5,-0.3,26,29,2.61362,395.5,14542.15332,0,31.69014,-2.27824,115.18393,7.32,-54.02,0,11.42,63.2,-1.4,39.4,23.4,1.79593,256.19998,13267.33789,0,20.67353,-0.57504,73.6,13.2,41,54,23,16,9
"AL032004.5","AL032004","040810",12,13.8,67.6,40,10,0.36788,-21.61284,609,400,75,672.00006,113.89371,7.95,-54,0,10.75,64.5,0.4,36,24.5,1.93258,318,12971.77637,0,37.02738,0.41696,108.88745,7.9,-53.96,0,12,61.6,-1.1,42.4,19.6,2.08051,316,11856.47656,2,7.73041,-0.35538,71.8,16.8,65,62,19,12,8
"AL032004.6","AL032004","040810",18,14.9,69.8,45,10,0.36788,-21.75128,660,450,88,634.5,102.0117,4.45,-53.85,0,12.65,62,-0.5,51.5,21,1.17428,200.24998,10406.3877,0,22.87435,0.48222,101.97665,8.62,-53.82,0,13.08,59.6,-1.5,41.6,19.4,2.40556,387.89999,10399.23828,8.4,-2.06289,0.09841,70.2,14.1,75,68.4,20,13,9
"AL032004.7","AL032004","040811",0,15.6,71.8,55,15,0.3928,-20.0979,713,825,80,759,89.82376,5.05,-53.9,0,12.9,60,-1,51,14,1.37482,277.75,8068.30811,0,5.5244,0.50969,92.13535,10.38,-53.74,0,13.74,59.2,-1,36.4,17,2.96372,570.90002,8488.92188,18.2,-13.72244,0.01082,69.6,13.8,65,78.2,19,14,9
"AL032004.8","AL032004","040811",6,16,73.7,55,10,0.3928,-19.22517,652,550,81,693,91.35844,11.5,-53.9,0,12.6,59,0.2,40,19,3.20071,632.5,8346.36523,7.5,-42.07399,-3.71505,94.80258,12.18,-53.64,0,14.18,58.8,1.1,22.2,17.6,3.53713,669.89996,8987.5293,30.4,-29.53985,-0.6525,68.6,12.6,75,90.4,18,12,9
"AL032004.9","AL032004","040811",12,16.3,75.4,60,5,0.3928,-17.66925,682,300,87,876,87.57266,13.55,-53.8,0,13.8,57.5,2.2,31.5,19,3.85251,813,7668.97119,24,-24.73251,-0.69072,92.79506,11.8,-53.52,0,14.64,58.4,2.1,6.6,17.2,3.52607,708,8610.92285,42.4,-27.31049,0.79511,67.6,14.6,83,102.4,16,12,9
"AL032004.10","AL032004","040811",18,16.7,76.8,65,10,0.3928,-14.61551,556,650,88,760.5,84.51346,14.3,-53.45,0,15.1,58.5,-2.2,21,18,4.18978,929.5,7142.52441,41.5,-18.87008,1.40293,91.29301,9.92,-53.28,0,15.3,57.8,-1.1,-7.8,20.6,3.03876,644.79999,8334.41406,48.8,-17.03869,2.44169,66.8,11.7,84,108.8,20,17,15
"AL032004.11","AL032004","040812",0,17.4,78.1,65,5,0.41849,-12.88701,608,325,87,916.5,89.07649,11.55,-53.4,0,15.4,60,0.9,3,16.5,3.51568,750.75,7934.62158,52,-28.66712,0.82035,93.88423,8.74,-53.08,0,15.54,57.2,1.7,-18.6,26.2,2.84632,568.10004,8814.24902,52.8,-17.45122,1.54142,66,14.1,79,112.8,17,15,12
"AL032004.12","AL032004","040812",6,18.2,79.3,75,10,0.41849,-11.8726,587,750,95,780.00006,83.97302,9.05,-53.35,0,15.15,58,1.2,-23.5,14.5,2.89932,678.75,7051.46826,59.5,-27.78215,2.589,85.35555,7.36,-52.92,0,15.48,55.6,0.9,-29.4,31.4,2.56019,552.00006,7285.56885,48.2,-10.14832,1.63056,65.2,10.4,87,108.2,24,24,24
"AL032004.13","AL032004","040812",12,19.2,80.7,80,15,0.41849,-12.13517,700,1200,82,1176,82.58456,5.85,-53,0,15.4,56.5,-1,-35,26.5,1.95478,468.00003,6820.21045,55.5,-10.82109,3.97043,80.32037,6.66,-52.72,0,15.08,54.4,-1.1,-32.2,35.8,2.45845,532.80005,6451.3623,37.8,-7.75466,2.23826,65,14.7,78,97.8,22,22,21
"AL032004.14","AL032004","040812",18,20.5,81.6,90,15,0.41849,-10.91187,684,1350,98,702,72.79559,5.9,-52.7,0,16.05,54.5,0.6,-31.5,41.5,2.15314,531.00006,5299.19824,48,-0.08434,1.17506,69.61101,5.92,-52.58,0,14.42,53.2,-0.7,-25,42.2,2.32838,532.79999,4845.69238,17.4,-2.41444,1.99818,64.8,7.8,97,77.4,34,34,34
"AL032004.15","AL032004","040813",0,21.7,82.2,90,10,0.44486,-6.78724,593,900,85,1287,69.66977,7.9,-52.55,0,15.55,53,0.1,-33,45,2.99335,711.00006,4853.87695,37.5,-1.64415,-0.6249,66.05498,7.8,-52.48,0,13.3,52,-0.4,-16.8,44,3.28393,702.00006,4363.26025,0,-1.82791,2.3316,64.6,14.3,76,58,18,15,14
"AL032004.16","AL032004","040813",6,23,82.6,105,15,0.44486,-4.44617,643,1575,72,1365,52.66685,6.35,-52.5,0,14.25,53,-0.8,-31,40.5,2.54598,666.75006,2773.79761,14.5,-4.67919,2.56246,45.66255,10.54,-52.46,0,11.44,50.8,-0.5,-13,46.2,4.89259,1106.70007,2085.0686,0,4.71313,5.17037,65,13,54,38.4,17,13,1
"AL032004.17","AL032004","040813",12,24.4,82.9,95,5,0.44486,-3.14922,688,475,68,1491.5,62.11172,5.45,-52.5,0,12.5,52,-0.6,-12.5,41.5,2.31981,517.75,3857.86646,0,-8.19399,3.55806,50.67844,16.42,-52.66,0,9.24,50,1,-9.4,55.2,8.23273,1559.90015,2568.30396,0,9.83943,5.58028,65.2,15.7,61,23.8,14,10,8
"AL032004.18","AL032004","040813",18,26.1,82.4,125,20,0.44486,0.83747,621,2500,80,1625,26.92105,8.7,-52.4,0,10.95,50.5,0.9,3.5,47,4.01851,1087.5,724.74298,0,3.99578,4.25378,14.95297,24.32,-52.8,0,7.74,49.4,0.9,-5.8,68.8,12.88446,3040.00024,223.59138,0,19.51125,4.93169,65.6,13,74,15,3,1,1
"AL032004.19","AL032004","040814",0,28.1,81.6,75,0,0.47184,5.55515,466,0,99,480,64.89468,17.45,-52.4,0,8.6,48.5,0,-1.5,51.5,8.56366,1308.75,4211.31982,0,17.73461,9.05554,56.9872,29.1,-52.875,0,6.8,49,0,-7.25,74.25,15.5313,2182.5,3247.54077,0,25.02536,5.56397,66,6.4,98,18.5,3,1,1
"AL032004.20","AL032004","040814",6,30.1,80.8,75,0,0.47184,6.83703,552,0,66,1185,54.11147,29.5,-53,0,5.4,48,0.7,-14.5,73,15.39205,2212.5,2928.05078,0,27.5242,7.39017,51.51975,34.73333,-53.06667,0,5.6,48.66667,0,-12,83.33334,18.7951,2605,2654.28491,0,29.8549,5.41697,66.33334,15.8,55,20.66667,3,1,1
"AL032004.21","AL032004","040814",12,32.3,79.7,65,0,0.47184,8.24256,560,0,69,1228.5,59.07971,40.7,-53.35,0,5,49.5,-0.7,-13,97,22.47062,2645.5,3490.41235,0,32.31611,2.08265,59.07971,40.7,-53.35,0,5,49.5,-0.7,-13,97,22.47062,2645.5,3490.41235,0,32.31611,2.08265,67,18.9,61,18.5,3,1,1
"AL032004.22","AL032004","040814",18,34.5,78.1,60,0,0.47184,11.34986,536,0,59,1260,61.33633,45.2,-53.2,0,6,50,0,-7,104,25.60118,2712,3762.146,0,34.5163,1.47058,61.33633,45.2,-53.2,0,6,50,0,-7,104,25.60118,2712,3762.146,0,34.5163,1.47058,68,21,49,18,3,1,1
"AL042004.1","AL042004","040813",12,12.3,21.8,30,0,0.44486,-11.95432,553,0,70,489.00003,97.53271,15.55,-54,0,6.1,68.5,0.9,86.5,37,3.32766,466.50003,9512.62891,0,64.477,-6.21148,98.6794,15.94,-54.18,0,5.9,68.2,2,89.6,30.4,3.49814,478.19998,9737.62305,0,56.87966,-3.64144,75.8,16.3,63,5.6,15,1,1
"AL042004.2","AL042004","040813",18,12.4,23,30,0,0.44486,-11.95432,513,0,84,543,97.82348,17.35,-54.3,0,6.1,71,0,92,35,3.75456,520.5,9569.43262,0,55.04258,-4.38847,98.64473,16.44,-54.08,0,5.84,68.4,1.2,93,31,3.66957,493.19995,9730.78223,0,50.92725,-1.5789,76.4,18.1,62,6,14,9,1
"AL042004.3","AL042004","040814",0,12.6,24.2,35,5,0.47184,-11.91054,504,175,83,591.5,104.23203,17.2,-54.55,0,5.9,69,0.4,88,27.5,3.79643,602,10864.31543,0,50.8035,-2.94167,100.99008,15.08,-54.12,0,5.74,66.2,1.3,95.8,35,3.42931,527.80005,10198.99707,0,48.72231,-0.68494,75.2,16.9,64,6.8,16,10,1
"AL042004.4","AL042004","040814",6,12.9,25.5,40,10,0.47184,-11.73774,497,400,73,820,98.521,15.8,-54.1,0,5.65,67,0.7,93,25,3.56351,632,9706.38672,0,51.72534,-1.04386,93.85957,14.06,-54,0,5.72,64.4,0.6,93.6,41.2,3.26743,562.39996,8809.61914,0,47.07039,-0.23258,74.6,20.5,64,7,16,10,1
"AL042004.5","AL042004","040814",12,13.2,26.8,45,10,0.47184,-12.66678,469,450,68,976.50006,90.60062,15.05,-53.7,0,5.6,66,0.1,97,29,3.47712,677.25,8208.47168,0,47.46885,1.33464,85.97711,12.64,-53.92,0,5.78,62,-0.2,93.8,43.2,3.01368,568.80005,7392.06396,0,44.05286,-0.44498,73.8,21.7,49,6.6,15,10,1
"AL042004.6","AL042004","040814",18,13.5,28.1,55,15,0.47184,-12.66678,417,825,94,539,76.95576,13.4,-53.85,0,5.7,63.5,0.1,102,48.5,3.15559,737,5922.18994,0,44.08362,1.22977,73.22443,11.38,-53.88,0,6.06,58.8,-0.6,90.2,49,2.77885,625.90002,5361.81641,0,38.78008,-1.30029,72.6,9.8,89,6.2,27,15,1
"AL042004.7","AL042004","040815",0,13.8,29.3,65,20,0.49935,-12.61381,476,1300,86,981.5,64.31473,11.35,-54.1,0,5.8,61,-0.3,93.5,60.5,2.73755,737.75,4136.38428,0,45.39445,-0.97439,60.85593,9.16,-53.98,0,6.42,55.8,-1,86,53.6,2.30152,595.39996,3703.44482,0,26.6336,-2.01772,71.2,15.1,78,5.2,24,1,1
"AL042004.8","AL042004","040815",6,14.1,30.8,75,20,0.49935,-12.66678,424,1500,92,675,51.69959,11.2,-54.05,0,6,58.5,-0.1,83,48,2.78169,840.00006,2672.8479,0,38.66843,-2.28607,48.75613,8.78,-54.06001,0,6.82,53,-1,74.6,51.8,2.30103,658.50006,2377.15991,0,5.97264,-2.69049,70,9,83,5,30,1,1
"AL042004.9","AL042004","040815",12,14.7,32.1,80,15,0.49935,-13.31474,431,1200,97,512,44.43314,9.15,-53.8,0,6.5,53,-0.3,84.5,44.5,2.35473,732,1974.3042,0,31.00555,-3.65915,42.09816,9.58,-54.06001,0,7.28,50.4,-1.3,66.6,46.4,2.68804,766.40002,1772.255,0,-11.78056,-2.60952,68.6,6.4,93,5.6,26,1,1
"AL042004.10","AL042004","040815",18,15.2,33.5,85,10,0.49935,-12.88701,475,850,88,1079.5,37.79768,6.25,-53.85,0,7.2,50.5,-0.3,77.5,55,1.67093,531.25,1428.66492,0,4.79115,-2.55628,36.1427,10.68,-53.98,0,7.78,49.2,-0.8,53,46.2,3.19723,907.80005,1306.2948,0,-27.54552,-1.66682,67.8,12.7,85,6.2,17,11,1
"AL042004.11","AL042004","040816",0,16,34.8,90,10,0.52729,-13.36503,558,900,86,1107,30.78503,6.85,-54.3,0,7.6,49,-0.3,63,55.5,1.94836,616.50006,947.71832,0,-38.34397,-2.34971,30.39845,13.88,-54.00001,0,8.12,48.4,-0.3,36.4,39.6,4.43934,1249.19995,924.06592,0,-40.08011,-0.59326,67.2,12.3,78,7.8,3,1,1
"AL042004.12","AL042004","040816",6,16.8,36,90,5,0.52729,-11.60645,612,450,79,1332,29.92027,12.4,-54.3,0,7.95,47.5,-0.4,45,42.5,3.70244,1116,895.22272,0,-50.64095,-2.44933,30.48808,18.64,-53.9,0,8.36,47.8,-1,15.6,37.2,6.2882,1677.6001,929.52319,0,-42.57812,-0.37487,66.6,14.8,70,9.6,3,1,1
"AL042004.13","AL042004","040816",12,17.7,37.2,90,0,0.52729,-11.32616,612,0,74,1467.00012,30.16602,16,-53.85,0,8.4,49,0.2,29,34,5.03781,1440,909.98853,0,-45.43797,0.22356,30.96692,23.12,-53.66,0,8.48,48.8,-0.8,-3.8,34.4,8.25011,2080.80005,958.95007,0,-35.7006,0.0257,67.2,16.3,68,11.6,3,1,1
"AL042004.14","AL042004","040816",18,19,38.2,95,5,0.52729,-10.41978,559,475,92,959.50006,25.18389,19.95,-53.65,0,8.6,48,0.2,9,27.5,6.74925,1895.25012,634.22839,0,-39.74332,1.33316,26.05936,25.94,-53.5,0,8.66,49.4,-1.5,-22,40.2,9.78187,2464.30029,679.09045,0,-28.8749,-0.2994,67.6,10.1,89,13.4,3,1,1
"AL042004.15","AL042004","040817",0,20.3,38.9,95,5,0.55556,-7.94868,508,475,80,1206.5,26.16113,26.1,-53.65,0,8.65,47,-1,-16,32.5,9.37879,2479.5,684.40485,0,-32.47934,0.77707,26.41943,31.2,-53.64,0,8.6,49,-2.6,-40.2,38,12.43758,2964,697.98645,0,-20.28105,-0.89206,66.8,12.7,78,15.8,3,1,1
"AL042004.16","AL042004","040817",6,21.7,39.6,90,-5,0.55556,-6.57546,561,-450,87,729.00006,32.20622,29.85,-53.45,0,8.5,50,-0.2,-37.5,42.5,11.44051,2686.5,1037.24072,0,-27.08421,-0.65059,31.61599,34.02,-53.78,0,8.34,49.2,-2.2,-57.4,41.4,14.26227,3061.80005,999.5708,0,-12.34975,-0.86032,66.6,8.1,81,17.2,3,1,1
"AL042004.17","AL042004","040817",12,23.3,40,90,-5,0.55556,-5.20898,557,-450,82,1242,31.34846,30.7,-53.3,0,8.7,51.5,-0.5,-49,50,12.45512,2763,982.72577,0,-16.69391,-2.31404,30.91225,35.68,-54,0,7.92,48.6,-1.3,-69.2,35.2,15.61931,3211.19995,955.56744,0,-3.85697,-1.68916,65.4,13.8,78,16.4,3,1,1
"AL042004.18","AL042004","040817",18,24.6,40.3,85,-5,0.55556,-3.37416,558,-425,72,1377.00012,36.29728,36.25,-53.8,0,8.7,49.5,-0.9,-62,43,15.52498,3081.25,1317.49243,0,-6.8891,-2.12423,34.75415,37.56,-54.28,0,7.5,47.2,-1.6,-76,34.6,17.07803,3192.6001,1207.85095,0,3.72169,-2.03328,63.2,16.2,65,15,3,1,1
"AL042004.19","AL042004","040818",0,25.9,40.6,75,-15,0.58404,-2.70276,598,-1125,48,1852.5,46.57547,40.1,-54.35,0,7.8,47.5,-0.6,-79.5,30.5,17.9284,3007.5,2169.27441,0,1.56955,-0.01001,42.53683,40,-54.58,0,6.76,45.6,-0.9,-84,24.2,18.71217,3000,1809.38171,0,9.72068,-1.71448,60.8,24.7,44,13.4,3,1,1
"AL042004.20","AL042004","040818",6,27.3,40.3,65,-20,0.58404,8e-05,606,-1300,49,1930.5,54.8932,37.25,-54.55,0,6.95,46,0.7,-88.5,25.5,17.31128,2421.25,3013.26294,0,8.58087,-1.10655,49.11467,40.74,-54.66,0,6.18,44.8,-0.4,-86.2,15.6,19.5756,2648.09985,2412.25073,0,15.28439,-2.3985,59.8,29.7,47,11,3,1,1
"AL042004.21","AL042004","040818",12,28.1,39.8,55,-20,0.58404,3.70826,540,-1100,30,1358.5,62.55165,38.75,-54.7,0,6.4,45,-0.8,-84,25.5,18.50174,2131.25,3912.70898,0,13.09441,-3.69214,55.51521,41.2,-54.74,0,5.88,44.2,-0.5,-85.8,4.8,20.10668,2266,3081.93896,0,19.0807,-3.4092,58.8,24.7,27,9,3,1,1
"AL042004.22","AL042004","040818",18,28.9,38.9,45,-20,0.58404,6.15664,552,-900,24,1057.5,67.90988,41.7,-54.75,0,5.8,44,-0.2,-86,22.5,20.28189,1876.5,4611.75195,0,17.35449,-2.56262,62.76917,42.44,-54.74,0,5.82,43.8,0.6,-84.4,1.2,20.92586,1909.79993,3939.96802,0,22.06491,-3.58841,58.4,23.5,23,8.6,3,1,1
"AL042004.23","AL042004","040819",0,29.3,37.8,40,-15,0.61263,9.11943,493,-600,17,776,67.19855,44.1,-54.75,0,5.4,43.5,-0.1,-87.5,-4.5,21.72058,1764,4515.64453,0,21.91337,-2.97025,64.76188,41.98,-54.8,0,5.88,43.4,0.9,-82,-7.2,20.80952,1679.19995,4194.10107,0,23.35658,-2.95409,58.4,19.4,16,9.2,3,1,1
"AL042004.24","AL042004","040819",6,29.7,37.7,40,-5,0.61263,5.59046,610,-200,16,656,64.02142,43.05,-54.75,0,5.6,44,0.6,-84,-18,21.39021,1722,4098.74268,0,24.96959,-4.18769,63.63893,41.18,-54.8,0,6.06,43.4,1.1,-77.8,-15.6,20.52276,1647.19995,4049.91357,0,23.74159,-2.90123,59,16.4,15,8.8,3,1,1
"AL042004.25","AL042004","040819",12,29.9,37.7,35,-5,0.61263,0.41754,722,-175,8,385,69.02942,41.5,-54.75,0,6.05,43.5,0.3,-84,-10.5,20.68693,1452.5,4765.06055,0,25.53217,-4.03133,68.29049,37.3,-54.84,0,6.28,43,1.3,-76.2,-15.8,18.66419,1305.5,4663.59082,0,23.11528,-0.73364,59,11,7,8.2,3,1,1
"AL042004.26","AL042004","040819",18,29.9,37.2,35,-5,0.61263,1.81262,705,-175,20,833.00006,68.16832,40.7,-54.85,0,6.4,43,0.1,-74.5,-4.5,20.25885,1424.5,4646.91992,0,23.78411,-2.55437,68.18495,35.16,-54.88,0,6.58,42.8,0.8,-69.8,-16,17.68656,1230.59998,4649.1875,0,22.85077,0.04613,59.8,23.8,19,7.6,3,1,1
"AL042004.27","AL042004","040820",0,29.8,36.8,35,0,0.64118,3.97017,634,0,0,154,67.5843,38.55,-54.9,0,6.4,43,0.1,-69.5,-19.5,19.27414,1349.25012,4567.63818,0,21.54618,-0.84465,67.82869,30.14,-55.06001,-0.02,6.78,42.6,0.8,-60.8,-18.2,15.23717,1054.90015,4600.73096,0,23.11197,0.89792,61,4.4,0,7.2,3,1,1
"AL042004.28","AL042004","040820",6,30.2,37,35,0,0.64118,1.00001,693,0,21,721,68.52008,32.4,-54.85,0,6.4,42.5,0.8,-73,-26,16.35724,1134,4695.00146,0,21.31014,2.53087,68.47661,27.24,-55.22,-0.1,6.94,43.2,0.2,-50.2,-17.4,13.85438,953.39996,4689.0459,0,23.04577,1.00672,62.6,20.6,20,7.6,3,1,1
"AL042004.29","AL042004","040820",12,30.5,37.2,35,0,0.64118,-1.75346,730,0,20,752.5,67.88646,28,-54.95,0,6.9,42.5,-0.2,-64,-19,14.2997,980,4608.57129,0,22.74254,3.1307,68.32228,23.66,-55.4,-0.26,7.22,43.8,0.3,-36.6,-11.6,12.08441,828.09998,4667.93408,0,23.91191,1.43922,63.8,21.5,18,8,6,1,1
"AL042004.30","AL042004","040820",18,30.9,37.6,30,-5,0.64118,-2.35111,799,-150,14,369,72.87491,23.6,-55.3,-0.05,7.3,42.5,0.1,-45.5,-16.5,12.11939,708,5310.75244,0,25.52388,0.09758,73.3466,22.975,-55.525,-0.325,7.4,44.25,0.5,-27.25,-9.75,11.7558,689.25,5379.72314,0,24.53496,0.30309,65,12.3,9,8.25,3,1,1
"AL042004.31","AL042004","040821",0,30.9,38,30,-5,0.66958,-3.46408,777,-150,15,501.00003,69.50516,20.95,-55.7,-0.25,7.3,44,-0.5,-25.5,-8,10.70385,628.5,4830.9668,0,24.2716,-0.20457,68.94641,20.76667,-55.7,-0.43333,7.43333,44.66667,0.4,-18.33333,-6.66667,10.60754,623.00006,4753.60742,0,24.69149,0.27823,65.66666,16.7,13,9,3,1,1
"AL042004.32","AL042004","040821",6,30.6,38.6,30,0,0.66958,-4.72761,825,0,11,477.00003,68.55719,22.3,-55.75,-0.6,7.5,46,0.9,-9,-3,11.36677,669,4700.08838,0,23.54604,0.56027,68.55719,22.3,-55.75,-0.6,7.5,46,0.9,-9,-3,11.36677,669,4700.08838,0,23.54604,0.56027,66.5,15.9,8,10,3,1,1
"AL042004.33","AL042004","040821",12,30.7,38.9,25,-5,0.66958,-3.86372,795,-125,1,145,72.82891,20.4,-55.7,-0.8,7.7,46,0,-4,-4,10.41492,510,5304.05029,0,25.53128,1.24382,72.82891,20.4,-55.7,-0.8,7.7,46,0,-4,-4,10.41492,510,5304.05029,0,25.53128,1.24382,66,5.8,0,10,3,1,1
"AL052004.1","AL052004","040813",18,9,45.6,30,0,0.44486,-17.90137,497,0,97,282.00003,138.36903,6.95,-54.8,0,7.7,70,-0.5,18,42,1.09789,208.50002,19145.99023,0,74,-1.77221,139.41959,8.66,-54.9,0,8.3,66.8,-0.7,13.6,28,1.46344,259.80002,19437.82031,0,61.18208,1.25057,76.2,9.4,92,54.4,29,16,8
"AL052004.2","AL052004","040814",0,9.2,47.4,30,0,0.47184,-17.90137,503,0,78,456,143.19598,7.7,-55.2,0,7.95,67.5,-0.2,15.5,35.5,1.26275,231,20505.08984,0,64.5,-1.80027,141.39209,8.14,-54.9,0,8.82,65,-0.2,9.4,22.8,1.41667,244.20001,19991.72266,0,45.39919,1.83128,75.4,15.2,62,55,20,12,7
"AL052004.3","AL052004","040814",6,9.6,49.2,30,0,0.47184,-17.7265,596,0,87,363,142.39691,11.5,-55.15,0,8.25,65,0,12.5,17.5,1.97756,345,20276.88086,0,48.99846,3.31396,140.72043,8.04,-54.8,0,9.22,64,0,5.8,21.4,1.44635,241.2,19802.23828,0,12.99965,3.2002,75.4,12.1,73,57,23,13,8
"AL052004.4","AL052004","040814",12,10.1,51.4,30,0,0.47184,-19.48735,627,0,81,558,140.48697,8.1,-54.75,0,8.95,64,-0.8,10,12.5,1.43899,243.00002,19736.58789,0,58.45161,5.01923,138.25395,6.62,-54.74,0,9.7,63,-0.6,2.8,18.6,1.24704,198.59999,19114.1543,0,-13.8821,4.4755,74.6,18.6,74,56.4,17,11,7
